Name;About;PersonalityType;Universe;Profile;;;;
Friedrich Wilhelm Nietzsche;German philosopher, cultural critic, composer, poet, writer, and philologist ;INTJ_A;REALPERSON;Architect;;;;;
Michelle LaVaughn Robinson Obama;American attorney and author who served as the First Lady of the United States from 2009 to 2017;INTJ_A;REALPERSON;Architect;;;;;
Elon Reeve Musk;Business magnate, industrial designer, and engineer;INTJ_A;REALPERSON;Architect;;;;;
Christopher Edward Nolan (CBE);British-American film director, producer, and screenwriter;INTJ_A;REALPERSON;Architect;;;;;
Vladimir Putin;Russian intelligence officer and politician who served as president;INTJ_A;REALPERSON;Architect;;;;;
Arnold Schwarzenegger;Austrian-born American bodybuilder, film actor, and politician;INTJ_A;REALPERSON;Architect;;;;;
Colin Luther Powell;American politician, diplomat and retired four-star general;INTJ_A;REALPERSON;Architect;;;;;
Walter White (Heisenberg);Breaking Bad;INTJ_A;;Architect;;;;
Lord Petyr Baelish (Littlefinger);Game Of Thrones GOT;INTJ_A;GOT;Architect;;;;;
Tywin Lannister;Game Of Thrones GOT;INTJ_A;GOT;Architect;;;;;
Gandalf the Grey;The Lord of the Rings;INTJ_A;RINGS;Architect;;;;;
Professor Moriarty;Sherlock Holmes;INTJ_A;;Architect;;;;;
Stephen Strange (Doctor Strange;Marvel Cinematic Universe : The Heroes;INTJ_A;MARVEL;Architect;;;;;
Tanos;Marvel Cinematic Universe : The Vilains;INTJ_A;MARVEL;Architect;;;;;
Dr. Gregory House;Dr House ;INTJ_A;;Architect;;;;;
Severus Snape;Harry Potter / Wizarding World Films;INTJ_A;HARRYPOTTER;Architect;;;;;
Sheev Palpatine;Star Wars;INTJ_A;STARWARS;Architect;;;;;
Bruce Wayne (Batman);DC Comics : Batman;INTJ_A;BATMAN;Architect;;;;;
Professor (Sergio Marquina);La Casa de Papel (The Money Heist);INTJ_A;;Architect;;;;;
Yelena;Shingeki no Kyojin (Attack on Titan);INTJ_A;;Architect;;;;;

Trafalgar D. Water Law;One Piece;INTJ_A;;Architect;;;;;
Bill Gates;American business magnate, software developer, investor, author, and philanthropist;INTP_A;;Logician;;;;;
Albert Einstein;German-born theoretical physicist, widely acknowledged to be one of the greatest physicists of all time;INTP_A;;Logician;;;;;
Stanley Crouch;American poet, music and cultural critic, syndicated columnist, novelist, and biographer;INTP_A;;Logician;;;;;
Isaac Newton;English mathematician, physicist, astronomer, theologian, and author;INTP_A;;Logician;;;;;
Blaise Pascal;French mathematician, physicist, inventor, philosopher, writer and Catholic theologian.;INTP_A;;Logician;;;;;
Ren Descartes;French-born philosopher, mathematician, and scientist ;INTP_A;;Logician;;;;;
Lord Varys;Game Of Thrones GOT;INTP_A;GOT;Logician;;;;;
Dr. Bruce Banner (Hulk);Marvel Cinematic Universe : The Heroes;INTP_A;MARVEL;Logician;;;;;
Neo ;The Matrix;INTP_A;MATRIX;Logician;;;;;
Aemon Targaryen;Game Of Thrones GOT;INTP_A;GOT;Logician;;;;;
Chloe O'Brian;Series 24;INTP_A;;Logician;;;;;
Patrick Star;SpongeBob SquarePants;INTP_A;;Logician;;;;;
Senku Ishigami;Dr. Stone;INTP_A;;Logician;;;;;
Yoda;Star Wars;INTP_A;STARWARS;Logician;;;;;
Shikamaru Nara;NARUTO Shippuden;INTP_A;NARUTO;Logician;;;;;
Chidi Anagonye;The Good Place;INTP_A;;Logician;;;;;
Nico Robin;One Piece;INTP_A;ONEPIECE;Logician;;;;;
Amy Farrah Fowler;The Big Bang Theory;INTP_A;;Logician;;;;;
Arthur Weasley;Harry Potter / Wizarding World Films;INTP_A;HARRYPOTTER;Logician;;;;;
Haymitch Abernathy;The Hunger Games;INTP_A;HUNGER;Logician;;;;;
Velma Dinkley;Scooby-Doo, Where Are You!;INTP_A;;Logician;;;;;
Whoopi Goldberg;American actor, author, comedian, and television personality;ENTJ_A;REALPERSON;Commander;;;;;
Malcolm X;African-American Muslim minister and human rights activist ;ENTJ_A;REALPERSON;Commander;;;;;
David Palmer;Series 24;ENTJ_A;;Commander;;;;;
Malcolm Merlyn;Arrow;ENTJ_A;ARROW;Commander;;;;;
Raymond Reddington;The Blacklist;ENTJ_A;;Commander;;;;;
Jaqueline A. Sharp;House of Cards;ENTJ_A;;Commander;;;;;
Mary Josephine Talbot;Downton Abbey;ENTJ_A;;Commander;;;;;
Nick Fury;Marvel Cinematic Universe : The Heroes;ENTJ_A;MARVEL;Commander;;;;;
Count Dooku;Star Wars;ENTJ_A;STARWARS;Commander;;;;;
Klaus Mikaelson;The Originals;ENTJ_A;;Commander;;;;;
Erwin Smith;Shingeki no Kyojin (Attack on Titan);ENTJ_A;;Commander;;;;;
Voldemort;Harry Potter / Wizarding World Films;ENTJ_A;HARRYPOTTER;Commander;;;;;
Lela Organa;Star Wars;ENTJ_A;STARWARS;Commander;;;;;
Steve Jobs;American business magnate, industrial designer, investor, and media proprietor;ENTJ_A;;Commander;;;;;
Madara Uchiha;NARUTO Shippuden;ENTJ_A;NARUTO;Commander;;;;;
Joseph Stalin;Georgian revolutionary and the ruler of the Soviet Union from 1927 until 1953;ENTJ_A;;Commander;;;;;
Napoleon Bonaparte;French military and political leader of Corsican descent;ENTJ_A;;Commander;;;;;
Berlin;La Casa de Papel (The Money Heist);ENTJ_A;;Commander;;;;;
Julius Caesar; Roman general and statesman;ENTJ_A;REALPERSON;Commander;;;;;
Nami;One Piece;ENTJ_A;ONEPIECE;Commander;;;;;
