Question;Factor;Letter;;;;;;
You regularly make new friends.;Extraversion;E;;;;;;
You feel comfortable just walking up to someone you find interesting and striking up a conversation.;Extraversion;E;;;;;;
You enjoy participating in group activities.;Extraversion;E;;;;;;
You usually prefer to be around others rather than on your own.;Extraversion;E;;;;;;
After a long and exhausting week, a lively social event is just what you need.;Extraversion;E;;;;;;
In your social circle, you are often the one who contacts your friends and initiates activities.;Extraversion;E;;;;;;
You feel more drawn to places with busy, bustling atmospheres than quiet, intimate places.;Extraversion;E;;;;;;
It doesn't take long to get involved in the social activities of your new workplace.;Extraversion;E;;;;;;
You don't mind being the center of attention.;Extraversion;E;;;;;;
Your energy is multiplied if you have spent time with a group.;Extraversion;E;;;;;;
At social events, you rarely try to introduce yourself to new people and mostly talk to the ones you already know.;Introversion;I;;;;;;
You avoid leadership roles in group settings.;Introversion;I;;;;;;
You tend to avoid drawing attention to yourself.;Introversion;I;;;;;;
You avoid making phone calls.;Introversion;I;;;;;;
You are a relatively quiet and reserved person.;Introversion;I;;;;;;
A quality book or video game is often better than a social event.;Introversion;I;;;;;;
Usually, you don't initiate conversations.;Introversion;I;;;;;;
You have difficulty relaxing when speaking in front of many people.;Introversion;I;;;;;;
If the room is crowded, you stay close to the walls and avoid the center.;Introversion;I;;;;;;
You would love a job that requires you to work alone most of the time.;Introversion;I;;;;;;
You spend a lot of your free time exploring various random topics that pique your interest.;Introversion;I;;;;;;
You like books and movies that make you come up with your own interpretation of the ending.;Intuition;N;;;;;;
You are interested in so many things that you find it difficult to choose what to try next.;Intuition;N;;;;;;
You enjoy watching people argue.;Intuition;N;;;;;;
You enjoy going to art museums.;Intuition;N;;;;;;
You have always been fascinated by the question of what, if anything, happens after death.;Intuition;N;;;;;;
You are very intrigued by things labeled as controversial.;Intuition;N;;;;;;
You often spend time exploring ideas that are unrealistic and unworkable, but also intriguing.;Intuition;N;;;;;;
You often reflect on the reasons for human existence.;Intuition;N;;;;;;
Your mind is constantly full of ideas and plans to explore.;Intuition;N;;;;;;
You are not too interested in discussing various interpretations and analyses of creative works.;Sensing;S;;;;;;
You are definitely not an artistic type of person.;Sensing;S;;;;;;
You become bored or lose interest when the discussion gets highly theoretical.;Sensing;S;;;;;;
You rarely contemplate the reasons for human existence or the meaning of life.;Sensing;S;;;;;;
Your dreams tend to focus on the real world and its events.;Sensing;S;;;;;;
You see your mind as more practical than creative.;Sensing;S;;;;;;
Generally, you rely more on your experience than your imagination.;Sensing;S;;;;;;
You rarely take action out of curiosity.;Sensing;S;;;;;;
You are rarely distracted by your dreams and thoughts.;Sensing;S;;;;;;
You believe that pondering abstract philosophical questions is a waste of time.;Sensing;S;;;;;;
Seeing other people cry can easily make you feel like you want to cry too.;Sensing;S;;;;;;
You are very sentimental.;Feeling;F;;;;;;
Your happiness comes more from helping others accomplish things than your own accomplishments.;Feeling;F;;;;;;
You find it easy to empathize with a person whose experiences are very different from yours.;Feeling;F;;;;;;
You take great care not to make people look bad, even when it is completely their fault.;Feeling;F;;;;;;
You know at first glance how someone is feeling.;Feeling;F;;;;;;
You would pass along a good opportunity if you thought someone else needed it more.;Feeling;F;;;;;;
Winning a debate is less important to you than knowing that no one is upset.;Feeling;F;;;;;;
You often feel like you have to justify yourself to your peers.;Feeling;F;;;;;;
You would rather see your child become nice than smart, as a parent.;Feeling;F;;;;;;
You rarely worry about the consequences of your actions on your peers.;Feeling;F;;;;;;
If you had a business, you would find it difficult to fire loyal employees who are not meeting their goals.;Feeling;F;;;;;;
If your friends are really sad about a situation, you are more likely to offer emotional support than to suggest solutions to the problem.;Feeling;F;;;;;;
You are more inclined to follow your head than your heart.;Thinking;T;;;;;;
You feel superior to others.;Thinking;T;;;;;;
You don't let others influence your actions.;Thinking;T;;;;;;
Logic is usually more important than feelings when it comes to making important decisions.;Thinking;T;;;;;;
You think the world would be a better place if people relied more on rationality and less on their feelings.;Thinking;T;;;;;;
In a discussion, the truth must come before anyone's sensitivities.;Thinking;T;;;;;;
You believe that it is more rewarding to be appreciated by others than to be powerful.;Thinking;T;;;;;;
You have difficulty empathizing with the feelings of others.;Thinking;T;;;;;;
In teamwork, it is more important to be right than to be cooperative.;Thinking;T;;;;;;
You lose patience with people who are not as efficient as you.;Thinking;T;;;;;;
You often have a hard time understanding other people's feelings.;Thinking;T;;;;;;
You often make a backup plan for a backup plan.;Thinking;T;;;;;;
You prefer to completely finish one project before starting another.;Judging;J;;;;;;
You like to use organizing tools like schedules and lists.;Judging;J;;;;;;
You prefer to do your chores before allowing yourself to relax.;Judging;J;;;;;;
You like to have a to-do list for each day.;Judging;J;;;;;;
If your plans are interrupted, your top priority is to get back on track as soon as possible.;Judging;J;;;;;;
You complete things methodically without skipping over any steps.;Judging;J;;;;;;
You try to answer your emails as soon as possible and can't stand having an unorganized mailbox.;Judging;J;;;;;;
For you, being organized is more important than being flexible.;Judging;J;;;;;;
Your living environment is quite orderly, at work and at home.;Judging;J;;;;;;
Your travel itineraries are usually planned in advance.;Judging;J;;;;;;
Being able to develop a plan and stick to it is the most important part of every project.;Judging;J;;;;;;
You usually prefer just doing what you feel like at any given moment instead of planning a particular daily routine.;Perceiving;P;;;;;;
You often end up doing things at the last possible moment.;Perceiving;P;;;;;;
You usually postpone finalizing decisions for as long as possible.;Perceiving;P;;;;;;
You are more of a natural improviser than a meticulous planner.;Perceiving;P;;;;;;
You would rather improvise than spend time on building a detailed plan.;Perceiving;P;;;;;;
It is more important to keep a choice of possibilities open than to have a list of things to do.;Perceiving;P;;;;;;
You frequently lose your things.;Perceiving;P;;;;;;
You tend to put everything off until there is not enough time left to do everything.;Perceiving;P;;;;;;
You struggle with deadlines.;Perceiving;P;;;;;;
Your personal work style is closer to spontaneous bursts of energy than organized and consistent efforts.;Perceiving;P;;;;;;
You usually stay calm, even under a lot of pressure.;Perceiving;P;;;;;;
You rarely second-guess the choices that you have made.;Assertive;A;;;;;;
You rarely feel insecure.;Assertive;A;;;;;;
You feel confident that things will work out for you.;Assertive;A;;;;;;
People can rarely upset you.;Assertive;A;;;;;;
You consider yourself to be very emotionally stable.;Assertive;A;;;;;;
Even a small mistake can cause you to doubt your overall abilities and knowledge.;Turbulent;T;;;;;;
You rarely worry about whether you make a good impression on people you meet.;Turbulent;T;;;;;;
You are prone to worrying that things will take a turn for the worse.;Turbulent;T;;;;;;
You often feel overwhelmed.;Turbulent;T;;;;;;
Your mood can change very quickly.;Turbulent;T;;;;;;
You often spend a lot of time trying to understand views that are very different from your own.;Turbulent;T;;;;;;
You are still bothered by mistakes that you made a long time ago.;Turbulent;T;;;;;;
Your emotions control you more than you control them.;Turbulent;T;;;;;;
You feel very anxious in stressful situations.;Turbulent;T;;;;;;
If someone doesn't respond quickly to your email, you worry and wonder if you said something wrong.;Turbulent;T;;;;;;
When someone thinks highly of you, you wonder how long it will take them to feel disappointed in you.;Turbulent;T;;;;;;
